0,1,2,3
"ISSB S2, 29(a)(i)",2023,2022,2021(1)
Scope 1 Emissions (metric tons),"424,561","433,636","436,267"
Scope 2 Emissions (metric tons)(1),"1,150,656","1,168,803","1,089,730"
Scope 1 & 2 Emissions (metric tons)(2),"1,575,217","1,602,439","1,525,997"
"Sales (USD, millions)","42,797","37,840","36,242"
Sales Intensity (CO2 metric tons/$ Sales),0.0000368,0.0000424,0.0000421
Employees,"179,000","168,000","158,000"
Employee Intensity (metric tons/employee),8.8,9.5,9.7
Square Footage (million sq. ft),83.8,84.4,83.5
Square Footage Intensity (metric tons/sq. ft.),0.0188,0.0189,0.0183
